job_id,title,company,city,salary,salary_min,salary_max,date_posted,description_preview,is_hot_job,link
7745301,Аналітик,Akora consult,Akora consult,30 000 грн,30.0,0.0,12 березня 2026,"Akora Consult розвиває міжнародні проєкти у сфері бізнес-консалтингу, фінансів та операційного управління. У зв’язку з розширенням напряму роздрібної торгівлі ми шукаємо аналітика з досвідом роботи в retail-сфері,…",False,https://www.work.ua/jobs/7745301/
7774806,Аналітик (CRM Creatio),YEDNIST’ GROUP,YEDNIST’ GROUP,40 000 – 50 000 грн,40.0,0.0,12 березня 2026,"Фірма Триплекс понад 31 рік є лідером з продажу товарів для домашніх тварин та входить до складу торгово-виробничої компанії YEDNIST' GROUP. Факти про нас:   Ми є представниками багатьох світових брендів, AnimAll,…",False,https://www.work.ua/jobs/7774806/
4562438,Економіст з кредитування (управління кредитних операцій),Полтава Банк,Полтава Банк,,,,12 березня 2026,АТ «Полтава-банк»запрошує на роботу економістів в Управління кредитних операцій (Головний офіс) АТ «Полтава-банк» Ми пропонуємо:   Офіційне працевлаштування;   Стабільну заробітну плату 2 рази на місяць;   П’ятиденний…,False,https://www.work.ua/jobs/4562438/
7773639,Маркетолог-аналітик,AVDtrade,AVDtrade,,,,12 березня 2026,"Ми співпрацюємо з 60+ провідними європейськими брендами, маємо представництва…",False,https://www.work.ua/jobs/7773639/
7743516,"Бізнес-аналітик (IT, Middle)","DiFFreight, LLC",DiFFreight LLC,,,,12 березня 2026,"Ми займаємося міжнародними перевезеннями по напрямку Китай Україна, Україна — Америка, Україна — Європа. У зв’язку з розширенням нашого…",False,https://www.work.ua/jobs/7743516/
7743381,Аналітик товарних запасів,ProSteer Group,ProSteer Group,,,,12 березня 2026,"Повна зайнятість. Досвід роботи від 2 років.
                              Вимоги   Досвід роботи в торгівлі, виробництві або дистрибуції з товарними запасами    Розуміння принципів і методів аналізу продажів, залишків та їх розподілення    Обов’язки   Аналіз залишків системи віддалених…",False,https://www.work.ua/jobs/7743381/
7009699,"Діловод відділу обліку, списання, комплектування, аналітики БПЛА",Військова частина А4862,Військова частина А4862,50 000 – 125 000 грн,50.0,0.0,12 березня 2026,"Повна зайнятість. Досвід роботи від 2 років.
                            425 окремий полк «СКАЛА» пропонує службу у складі ефективного та сучасного військового підрозділу з якісним навчанням, підготовкою, та можливістю професійного зростання і реалізації свого потенціалу у сфері управління…",False,https://www.work.ua/jobs/7009699/
7484653,HR-аналітик,ДТЕК,ДТЕК,,,,12 березня 2026,"YASNO — бренд енергопостачальних компаній України, що забезпечують електроенергією, газом та енергоефективними рішеннями 3,3 млн сімей і понад 90 тис бізнесів. Ми бачимо український енергоринок як активного учасника,…",False,https://www.work.ua/jobs/7484653/
7641865,Business analyst,Перший Український Міжнародний Банк (ПУМБ),Перший Український Міжнародний Банк (ПУМБ),,,,12 березня 2026,"ПУМБ — місце, де ідеї перетворюються на результатиМи поєднуємо інновації, командну роботу та високі стандарти обслуговування клієнтів. Кожен день ми прагнемо вдосконалювати продукти та процеси, підтримуємо професійний…",False,https://www.work.ua/jobs/7641865/
7801086,Head of CRM,"Нова пошта, ТОВ",Нова пошта ТОВ,,,,12 березня 2026,"Нова пошта — лідер експрес-доставки в Україні. Ми у пошуку керівника в управління розвитку клієнтів. Ми пропонуємо:   офіційне працевлаштування, «білу» заробітну плату, оплачувані відпустки та лікарняні;   медичне…",False,https://www.work.ua/jobs/7801086/
7691209,Аналітик кредитних ризиків,NovaPay,NovaPay,,,,12 березня 2026,"NovaPay — міжнародний фінансовий сервіс, що входить в ГК NOVA.  Ми створюємо сучасні платіжні рішення для бізнесу та мільйонів користувачів. Розвиваємо власну платіжну систему, мобільний застосунок і пропонуємо…",False,https://www.work.ua/jobs/7691209/
7774056,Аналітик,Будинок іграшок,Будинок іграшок,,,,12 березня 2026,"Ми щодня даруємо радість дітям і натхнення дорослим, створюючи атмосферу, в якій хочеться посміхатися. Зараз ми шукаємо Провідного…",False,https://www.work.ua/jobs/7774056/
7710456,Бізнес-аналітик (International Delivery Unit МОУ),Офіс ефективного регулювання (BRDO),Офіс ефективного регулювання (BRDO),,,,12 березня 2026,Наша головна мета — збільшення інвестицій в ОПК. Наша ключова…,False,https://www.work.ua/jobs/7710456/
7771260,"Аналітик з комп'ютерних систем (Service Desk, IT Support L1)","Укролія, ТОВ",Укролія ТОВ,,,,12 березня 2026,"Вища освіта.
                            Компанія UKROLIYA та запрошує в свою командуАналітика з комп’ютерних систем (Service Desk / IT Support L1)  Вимоги:   Базові знання Windows та Microsoft Office.   Досвід роботи з IT-підтримкою або офіс-адмініструванням —…",False,https://www.work.ua/jobs/7771260/
6031200,Аналітик,24 ОМБр імені короля Данила,24 ОМБр імені короля Данила,50 000 – 120 000 грн,50.0,0.0,12 березня 2026,…,False,https://www.work.ua/jobs/6031200/
7800591,"Content Manager, Data Entry Specialist (e-commerce)","Plexsupply, Inc",Plexsupply Inc,22 000 – 30 000 грн,22.0,0.0,12 березня 2026,", що входить до топ-200 найбільших продавців на Amazon, шукаємо Content Manager / Data Entry Specialist (e-commerce) для роботи з товарним контентом,…",False,https://www.work.ua/jobs/7800591/
7693605,Менеджер з маркетингу,Snack Production,Snack Production,,,,12 березня 2026,"Національна виробничо-дистриб'юторська компанія «Snack Production» — визнаний лідер з 30-річною історією на ринку снекової продукції з відомими брендами «Сан Санич», «Flint», «Морські», «Big Bob», «Chipster's»,…",False,https://www.work.ua/jobs/7693605/
7720620,Google-аналітик (Web Analytics),Iwis,Iwis,,,,12 березня 2026,"Наша компанія IWIS шукає людину, яка допоможе нам оптимізувати роботу веб сайтів та спростить роботу нашим клієнтам…",False,https://www.work.ua/jobs/7720620/
7800444,Головний спеціаліст (кредитне адміністрування) в міжнародний банк,"Правекс Банк, АТ",Правекс Банк АТ,,,,12 березня 2026,"АТ «ПРАВЕКС БАНК» — частина банківської групи Інтеза Санпаоло (Intesa Sanpaolo), однієї з провідних банківських груп Єврозони і лідера в усіх сферах бізнесу в Італії,  Запрошує на посаду — Головний спеціаліст (кредитне…",False,https://www.work.ua/jobs/7800444/
7797894,Помічник з аналітики та координації продажів,UBP Ukraine,UBP Ukraine,25 000 – 35 000 грн,25.0,0.0,12 березня 2026,"Повна зайнятість.
                            Про компаніюUBP Ukraine — українська компанія, що працює у сфері міжнародної торгівлі та постачання металопродукції. Ми організовуємо повний цикл поставок — від виробника до клієнта: закупівлю, логістику та постачання…",False,https://www.work.ua/jobs/7797894/
7716846,Investment analyst,"Key People, HR Agency",Key People HR Agency,,,,12 березня 2026,"Наш клієнт — інвестиційно-девелоперська група, що працює на стику нерухомості, private credit та структурованих угод. У зв’язку з розвитком інвестиційної функції компанія шукає Investment Analyst, який відповідатиме…",False,https://www.work.ua/jobs/7716846/
7329595,Data analyst (портфельний аналіз),Ощадбанк,Ощадбанк,,,,12 березня 2026,"МОЇ ЛЮДИ. МОЯ СПРАВА. МОЯ СВОБОДА. ОЩАДБАНК запрошує до команди Data analyst (портфельний аналіз) Ключові завдання:   Здійснення моніторингу,…",False,https://www.work.ua/jobs/7329595/
7757403,Методолог-аналітик фінансового обліку,Rozetka,Rozetka,,,,12 березня 2026,"ROZETKA — найбільший онлайн-продавець в Україні. Ми втілюємо мрії мільйонів людей і завжди шукаємо тих, хто допоможе нам стати кращими. Як працюється в ROZETKA? Відверта книга про компанію, її команду та цінності…",False,https://www.work.ua/jobs/7757403/
7690738,Провідний аналітик (фінансове моделювання),Dok.ua,Dok.ua,,,,12 березня 2026,"dok.ua — лідер онлайн-ринку автозапчастин.  Зростаємо, допомагаємо ЗСУ, віримо в Україну та хочемо розвивати український продукт з найкращими фахівцями. Основні наші бізнес-підрозділи орієнтовані на data-driven…",False,https://www.work.ua/jobs/7690738/
7399837,Маркетинг-аналітик (нерухомість),"HR Team, HR-агенція",HR Team HR-агенція,,,,12 березня 2026,"Шукаємо аналітика в маркетинговий відділ, який працюватиме з даними та формуватиме на їх основі корисні висновки для стратегії…",False,https://www.work.ua/jobs/7399837/
7605076,Аналітик (агронапрямок),"Астарта-Київ, ТОВ",Астарта-Київ ТОВ,,,,12 березня 2026,З 2006 року акції компанії розміщені на Варшавській фондовій біржі. Наша компанія…,False,https://www.work.ua/jobs/7605076/
7744320,BA/Project Coordinator (бізнес аналітик/координатор проєктів) у Київ,Delta Medical,Delta Medical,,,,12 березня 2026,"Професіонала, що діятиме як міст між замовником (нами) та підрядником…",False,https://www.work.ua/jobs/7744320/
7533661,Фінансовий директор,Техно Їжак,Техно Їжак,,,,12 березня 2026,Шукаємо Фінансового директора…,False,https://www.work.ua/jobs/7533661/
7493521,Системний аналітик (BAF),"Омега, ТОВ",Омега ТОВ,,,,12 березня 2026,"Компанія «Омега» — національний дистриб’тор автокомпонентів, з 35-річним досвідом успішної роботи на ринку автобізнесу і визнання на міжнародному рівні. Ми шукаємо системного аналітика BAF до нашої команди. Якщо…",False,https://www.work.ua/jobs/7493521/
7744785,Web Analyst Assistant,Halo Lab,Halo Lab,,,,12 березня 2026,"У нас одна з найкрутіших дизайн команд в Україні і цей факт підкріплений нашими роботами, нагородами та популярністю у світовій спільноті…",False,https://www.work.ua/jobs/7744785/
7799343,"Аналітик департаменту дистанційного сервісу, Data Analyst",Банк Південний,Банк Південний,,,,12 березня 2026,"Банк «Південний» — один із лідерів фінансового ринку України, який займає третє місце у групі українських банків із приватним капіталом за розміром активів.  Вже 32 роки «Південний» є надійним фінансовим партнером…",False,https://www.work.ua/jobs/7799343/
7718943,Insight Manager,Кондитерська Корпорація ROSHEN,Кондитерська Корпорація ROSHEN,70 000 – 85 000 грн,70.0,0.0,12 березня 2026,"ROSHEN шукає Insight Manager (того самого, який вміє перетворювати дані й дослідження на інсайти, а не на презентації «для галочки») ROSHEN — це бренд, який знають і люблять мільйони. А ще — це складні ринки, великі…",False,https://www.work.ua/jobs/7718943/
7554049,OSINT-аналітик,6 центр рекрутингу Сил безпілотних систем,6 центр рекрутингу Сил безпілотних систем,50 000 грн,50.0,0.0,12 березня 2026,Для розвитку власних систем керування й розширення…,False,https://www.work.ua/jobs/7554049/
7799277,Консультант з трансфертного ціноутворення,PwC Service Delivery Center,PwC Service Delivery Center,,,,12 березня 2026,Ми створюємо інноваційні рішення…,False,https://www.work.ua/jobs/7799277/
7740783,Тимлід (аналітика клієнтського досвіду),Rozetka,Rozetka,,,,12 березня 2026,ua потрібен «Тімлід напряму аналітики клієнтського досвіду (Customer Experience Analytics Team Lead)» ROZETKA — найбільший онлайн-ритейлер та один із найтехнологічніший…,False,https://www.work.ua/jobs/7740783/
7309585,Дата-аналітик,6 центр рекрутингу Сил безпілотних систем,6 центр рекрутингу Сил безпілотних систем,50 000 грн,50.0,0.0,12 березня 2026,"Повна зайнятість. Досвід роботи від 1 року.
                            Батальйон безпілотних систем «Цукрарня Птахів Мадяра» — це високотехнологічний батальйон у складі 414 окремої бригади безпілотних систем «Птахи Мадяра», який спеціалізується на забезпеченні підрозділів СБС ефективними…",False,https://www.work.ua/jobs/7309585/
7569643,Офіцер інформаційно-аналітичної групи командного пункту (s-3),46 ОАеМБр ДШВ,46 ОАеМБр ДШВ,28 000 – 80 000 грн,28.0,0.0,12 березня 2026,"Повна зайнятість.
                            Вимоги:    наявність офіцерського звання;   бажання працювати в інтересах військової частини;   здатність поєднувати виконання щоденних операційних та творчих завдань із системним підходом;   уважність до деталей,…",False,https://www.work.ua/jobs/7569643/
7740537,Фінансовий аналітик,NDA Recruitment,NDA Recruitment,,,,12 березня 2026,"Роль передбачає активну участь у бюджетуванні, аналізі відхилень та роботі…",False,https://www.work.ua/jobs/7740537/
7762767,Старший фінансовий аналітик,NDA Recruitment,NDA Recruitment,,,,12 березня 2026,"Роль передбачає активну участь у формуванні управлінської звітності, аналізі показників та підтримці…",False,https://www.work.ua/jobs/7762767/
7199572,Провідний експерт з продажів та кредитування малого та середнього бізнесу,"Креді Агріколь, банк",Креді Агріколь банк,,,,12 березня 2026,АТ «КРЕДІ АГРІКОЛЬ БАНК» оголошує конкурс на посаду Провідного експерта з продажів та кредитування малого та середнього бізнесу департаменту середнього корпоративного бізнесу та МСБ (з робочим місцем в м. Суми (вул…,False,https://www.work.ua/jobs/7199572/
7744146,Фінансовий аналітик (junior),"Ре-Лінк, ТОВ",Ре-Лінк ТОВ,40 000 – 45 000 грн,40.0,0.0,12 березня 2026,"Вища освіта.
                            Про насУкраїнська компанія (NDA) — виробник високотехнологічних акумуляторних батарей для оборонної промисловості. Компанія спеціалізується на розробці та виробництві енергоефективних рішень для FPV-дронів, БпЛА…",False,https://www.work.ua/jobs/7744146/
7333237,Аналітик системи РЕР,"Рейд, 17 Полтавська бригада НГУ",Рейд 17 Полтавська бригада НГУ,25 000 – 125 000 грн,25.0,0.0,12 березня 2026,"Основні обов’язки:   збір, систематизація та аналіз сигналів, перехоплень та інших даних, отриманих із засобів РЕР   робота з профільним програмним забезпеченням та технічними засобами РЕР   моніторинг радіоефіру,…",False,https://www.work.ua/jobs/7333237/
7689907,Спеціаліст з маркетингових досліджень,АТБ-маркет,АТБ-маркет,,,,12 березня 2026,"Повна зайнятість. Досвід роботи від 1 року.
                            Національна торговельна мережа магазинів «АТБ-маркет» взапрошує на роботу Спеціаліст з маркетингових досліджень Вимоги:   базова або повна вища (спеціальності Маркетинг, Економіка);   бажано досвід роботи у сфері…",False,https://www.work.ua/jobs/7689907/
7651093,Junior Data Reporting Engineer,Nix,Nix,,,,12 березня 2026,Базові знання C# (або схожої C-style мови)…,False,https://www.work.ua/jobs/7651093/
7772097,"Partner, Market Development Manager",Davintoo Ukraina,Davintoo Ukraina,,,,12 березня 2026,It has been successfully operating in the Ukrainian…,False,https://www.work.ua/jobs/7772097/
6305113,Менеджер з планування та аналітики,ДТЕК,ДТЕК,,,,12 березня 2026,"ДТЕК Дніпровські Електромережі — провідна енергетична компанія України, яка розподіляє електроенергію на території Дніпропетровської області та обслуговує понад 1,3 млн клієнтів. Співробітники Компанії щоденно забезпечують…",False,https://www.work.ua/jobs/6305113/
7481557,Аналітик торгової мережі,"BULOCHKA, мережа магазинів-пекарень",BULOCHKA мережа магазинів-пекарень,,,,12 березня 2026,"Ми — магазини-пекарні «BULOCHKA». Ми стабільно працюємо на ринку понад 15 років, постійно розширюємо виробництво та відкриваємо нові магазини-пекарні…",False,https://www.work.ua/jobs/7481557/
6341359,Фінансовий аналітик,"Бабак Україна, ТОВ",Бабак Україна ТОВ,,,,12 березня 2026,"«Бабак» — це сучасна мережа магазинів швидкого обслуговування біля дому, яка змінює підхід до зручних покупок. Ми поєднуємо швидкість, якість сервісу та широкий асортимент, щоб наші клієнти могли легко знаходити…",False,https://www.work.ua/jobs/6341359/
7670428,BI Analyst,Ajax Systems,Ajax Systems,,,,12 березня 2026,"Продуктам Ajax довіряють уже понад 4,5 мільйони кінцевих користувачів і 330 тисяч PRO-користувачів у більш ніж 180…",False,https://www.work.ua/jobs/7670428/
6465664,Діловод-аналітик з озброєння,24 ОМБр імені короля Данила,24 ОМБр імені короля Данила,50 000 – 60 000 грн,50.0,0.0,12 березня 2026,Служба передбачає перебування…,False,https://www.work.ua/jobs/6465664/
7677061,Бізнес-аналітик,"ARX, страхова компанія",ARX страхова компанія,,,,12 березня 2026,"Страхова компанія ARX — лідер страхового ринку України і представник канадської міжнародної страхової групи Fairfax Financial Holdings. № 1 на ринку КАСКО 17 років поспіль, шукає в свою команду Бізнес-аналітика…",False,https://www.work.ua/jobs/7677061/
7763790,Офіцер інформаційно-аналітичної групи ЗСУ,"Військова частина, ЗСУ (відділ оперативного реагування)",Військова частина ЗСУ (відділ оперативного реагування),25 000 грн,25.0,0.0,12 березня 2026,"Підрозділ запрошує на службу військовослужбовців офіцерського складу з обмеженою придатністю до військової служби (без залучення до виконання завдань у зоні бойових дій). Служба передбачає виконання організаційних,…",False,https://www.work.ua/jobs/7763790/
5547143,Консультант-аналітик 1С (BAS),"Системи обслуговування бізнесу, ТОВ",Системи обслуговування бізнесу ТОВ,30 000 – 60 000 грн,30.0,0.0,12 березня 2026,"Не обов’язково все одразу, але чим більше, тим краще. Важливе добре знання ERP.   Бажаний досвід участі у проектах впровадження програмних продуктів…",False,https://www.work.ua/jobs/5547143/
6168406,Аналітик,Український національний офіс інтелектуальної власності та інновацій,Український національний офіс інтелектуальної власності та інновацій,,,,12 березня 2026,"Шукаємо аналітика до IP офісу (Український національний офіс інтелектуальної власності та інновацій) Основні вимоги:   вища освіта (бажано в галузі фінансів, економіки, статистики);   досвід роботи на посадах економіст,…",False,https://www.work.ua/jobs/6168406/
6609538,Фінансовий аналітик у Нововолинськ,Кроноспан УА,Кроноспан УА,,,,12 березня 2026,Currently we are looking for a Finance Controller/Assistant to the Holding CEO with a possibility of further development to the position of CFO. Responsibilities…,False,https://www.work.ua/jobs/6609538/
7775037,Аналітик з ціноутворення,Megogo,Megogo,,,,12 березня 2026,"Ми працюємо з провідними українськими кінодистриб'юторами та найбільшими світовими кіностудіями: HBO, Universal, BBC,…",False,https://www.work.ua/jobs/7775037/
